author,highlightTitle,uuid,title,ord_in_thread,highlightText,social_vk_shares,social_stumbledupon_shares,social_linkedin_shares,social_pinterest_shares,social_gplus_shares,social_facebook_shares,social_facebook_comments,social_facebook_likes,crawled,published,thread_spam_score,thread_site_type,thread_site_full,thread_title_full,thread_performance_score,thread_title,thread_replies_count,thread_main_image,thread_uuid,thread_site_section,thread_published,thread_participants_count,thread_url,thread_country,thread_site,text,url,language,Keyword,relevent_flag,score,position
,,53e8f2ac277a3944c672650676db58a361cf118a,That New York twang: Nashville calls on Big Apple schools,0,,0,0,0,0,0,0,0,0,2015-10-13T07:29:34.987+03:00,2015-10-12T07:28:00.000+03:00,0,news,www.whio.com,That New York twang: Nashville calls on Big Apple schools,0,That New York twang: Nashville calls on Big Apple schools,0,http://media.cmgdigital.com/shared/img/photos/2015/10/12/35/d4/48eb3e592dc04ac0887326a24e75ab6f-c42757f106994e4ca098e085c83972b2-0.jpg,53e8f2ac277a3944c672650676db58a361cf118a,http://www.whio.com/feeds/categories/entertainment/,2015-10-12T07:28:00.000+03:00,0,http://www.whio.com/ap/ap/entertainment/that-new-york-twang-nashville-calls-on-big-apple-s/nnzkf/,US,whio.com,News | Entertainment,http://www.whio.com/ap/ap/entertainment/that-new-york-twang-nashville-calls-on-big-apple-s/nnzkf/,english,Entertainment,1,1.289472517,0.5
,,e278833e2af0a337b12d87e89f26630b04c22518,"Even as Knicks lose games, Anthony hasn't lost his patience",0,,0,0,0,0,0,0,0,0,2015-10-01T00:20:35.065+03:00,2015-10-01T00:17:00.000+03:00,0,news,www.greenfieldreporter.com,"Even as Knicks lose games, Anthony hasn't lost his patience",0,"Even as Knicks lose games, Anthony hasn't lost his patience",0,http://cdn1.greenfieldreporter.com/gr_assets/images/dr_logo.jpg,e278833e2af0a337b12d87e89f26630b04c22518,http://www.greenfieldreporter.com//feed/sec/6000,2015-10-01T00:17:00.000+03:00,0,http://www.greenfieldreporter.com/view/story/82b71404a7bd414e8e4201e40f202e34/BKN--Knicks-Anthonys-Attitude,US,greenfieldreporter.com,GreenfieldReporter.com - Sports News,http://www.greenfieldreporter.com/view/story/82b71404a7bd414e8e4201e40f202e34/BKN--Knicks-Anthonys-Attitude,english,Sports,1,0.68195087,0.333333333
Jason Rowan,,8d66c05ef429e688b83a4490368cb5b76f266773,"Thomas slams TMZ???s Manziel report, compares it to ???Onion???",0,,0,0,0,0,0,0,0,0,2015-10-01T02:04:25.722+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,"Thomas slams TMZ???s Manziel report, compares it to ???Onion???",0,"Thomas slams TMZ???s Manziel report, compares it to ???Onion???",26,,a0eceefd456edd8748c8b8f31dbbe5c145b56ad7,http://www.msn.com/en-us/sports,2015-09-30T03:00:00.000+03:00,25,http://www.msn.com/en-us/sports/nfl/thomas-slams-tmz%e2%80%99s-manziel-report-compares-it-to-%e2%80%98onion%e2%80%99/ar-AAeXOGT,US,msn.com,"Sports News, Scores, Schedules, Standings, Stats, Photos, Videos - MSN Sports",http://www.msn.com/en-us/sports/nfl/thomas-slams-tmz%e2%80%99s-manziel-report-compares-it-to-%e2%80%98onion%e2%80%99/ar-AAeXOGT#post-0,english,Sports,1,0.409170522,0.111111111
kmattioli@sportingnews.com (Kami Mattioli),,5d51a18a8f8aa005b9953e5a892889b5071337ca,Larry Brown apologizes in SMU's response to NCAA sanctions,0,,0,0,0,0,0,0,0,0,2015-10-02T13:50:58.729+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,Larry Brown apologizes in SMU's response to NCAA sanctions,0,Larry Brown apologizes in SMU's response to NCAA sanctions,0,,5d51a18a8f8aa005b9953e5a892889b5071337ca,http://www.msn.com/en-us/sports/ncaabk,2015-09-30T03:00:00.000+03:00,1,http://www.msn.com/en-us/sports/news/larry-brown-apologizes-in-smus-response-to-ncaa-sanctions/ar-AAeVIOR,US,msn.com,"NCAA BK News, Scores, Schedule, Standings, Stats, Photos, Videos - Basketball - MSN Sports",http://www.msn.com/en-us/sports/news/larry-brown-apologizes-in-smus-response-to-ncaa-sanctions/ar-AAeVIOR,english,Sports,1,0.170487717,0.083333333
,,0c1ef5b3448c5063ba02018f53df2af392642240,"F1: FIA revises 2016 schedule, eight races receive new dates",0,,0,0,0,0,0,0,0,0,2015-10-01T00:24:27.189+03:00,2015-09-30T23:18:00.000+03:00,0,news,www.newsdump.com,"F1: FIA revises 2016 schedule, eight races receive new dates",0,"F1: FIA revises 2016 schedule, eight races receive new dates",0,,0c1ef5b3448c5063ba02018f53df2af392642240,http://www.newsdump.com/feed/,2015-09-30T23:18:00.000+03:00,0,http://www.newsdump.com/article/f1-fia-revises-2016-schedule-eight-races-receive-new-dates,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/f1-fia-revises-2016-schedule-eight-races-receive-new-dates,english,Sports,1,0.120344271,0.071428571
,,47f726fa47c1fb1387ed800b1ba668d17fbe1837,"TLC's 'Sex in Public' Not Nearly As Exciting As It Sounds, Incites PTC Outrage Anyway",0,,0,0,0,0,0,0,0,0,2015-10-01T00:24:30.878+03:00,2015-09-30T23:06:00.000+03:00,0,news,www.newsdump.com,"TLC's 'Sex in Public' Not Nearly As Exciting As It Sounds, Incites PTC Outrage Anyway",0,"TLC's 'Sex in Public' Not Nearly As Exciting As It Sounds, Incites PTC Outrage Anyway",0,,47f726fa47c1fb1387ed800b1ba668d17fbe1837,http://www.newsdump.com/feed/,2015-09-30T23:06:00.000+03:00,0,http://www.newsdump.com/article/tlcs-sex-in-public-not-nearly-as-exciting-as-it-sounds-incites-ptc-outrage-anyway,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/tlcs-sex-in-public-not-nearly-as-exciting-as-it-sounds-incites-ptc-outrage-anyway,english,Sports,1,0.120344271,0.071428571
,,af406f699716fa245b00224b21c6d7532b6b976a,Tom Brady Says Experience Has Been Key,0,,0,0,0,0,0,0,0,0,2015-10-01T06:15:53.149+03:00,2015-09-30T13:29:00.000+03:00,0,news,cinesport.boston.com,Tom Brady Says Experience Has Been Key,0,Tom Brady Says Experience Has Been Key,0,,af406f699716fa245b00224b21c6d7532b6b976a,http://cinesport.boston.com/boston-globe-sports/rss.xml,2015-09-30T13:29:00.000+03:00,0,http://cinesport.boston.com/boston-globe-sports/tom-brady-says-experience-has-been-the-key-to-their-offensive-success/,US,boston.com,Boston Sports,http://cinesport.boston.com/boston-globe-sports/tom-brady-says-experience-has-been-the-key-to-their-offensive-success/,english,Sports,1,1.022926304,0
timesofindia.indiatimes.com,,dabcce206772392bfb84fa9733d605505bf2318e,"Dygert, White give US another 1-2 finish at cycling worlds",0,,0,0,0,0,0,0,0,0,2015-10-01T00:22:59.077+03:00,2015-09-26T18:32:00.000+03:00,0,news,timesofindia.indiatimes.com,"Dygert, White give US another 1-2 finish at cycling worlds - The Times of India",0,"Dygert, White give US another 1-2 finish at cycling worlds",0,http://timesofindia.indiatimes.com/photo/47529300.cms,dabcce206772392bfb84fa9733d605505bf2318e,http://timesofindia.indiatimes.com/Sports/More-sports/Cycling/articlelist/3413195.cms,2015-09-26T18:32:00.000+03:00,1,http://timesofindia.indiatimes.com/sports/more-sports/cycling/Dygert-White-give-US-another-1-2-finish-at-cycling-worlds/articleshow/49112578.cms,IL,indiatimes.com,Cycling - More sports - Sports - The Times of India,http://timesofindia.indiatimes.com/sports/more-sports/cycling/Dygert-White-give-US-another-1-2-finish-at-cycling-worlds/articleshow/49112578.cms,english,Sports,1,0.818341043,0
Jared Turner,,f7dbc1c6fbcacbc3dfe890d91439f5324e47ca23,"In danger of missing next Chase round, is Dale Jr. done for?",0,,0,0,0,0,0,0,0,0,2015-10-02T01:45:30.763+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,"In danger of missing next Chase round, is Dale Jr. done for?",0,"In danger of missing next Chase round, is Dale Jr. done for?",0,,f7dbc1c6fbcacbc3dfe890d91439f5324e47ca23,http://www.msn.com/en-us/sports/motorsports,2015-09-30T03:00:00.000+03:00,1,http://www.msn.com/en-us/sports/motorsports/in-danger-of-missing-next-chase-round-is-dale-jr-done-for/ar-AAeVLOM,US,msn.com,"NASCAR / Motors News, Race Results, Schedule, Standings, Photos, Videos - MSN Sports",http://www.msn.com/en-us/sports/motorsports/in-danger-of-missing-next-chase-round-is-dale-jr-done-for/ar-AAeVLOM,english,Sports,1,0.185986601,0.090909091
Manhunt Under Way After Convicted Killer Mistakenly Set Free in Louisiana,,a99830ada14c9d0882ed6f569e36d1c69f6e81d4,Former minor-league hockey player charged with killing wife,0,,0,0,0,0,0,0,0,0,2015-10-01T13:03:27.139+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,Former minor-league hockey player charged with killing wife,0,Former minor-league hockey player charged with killing wife,0,,a99830ada14c9d0882ed6f569e36d1c69f6e81d4,http://www.msn.com/en-us/sports/nhl,2015-09-30T03:00:00.000+03:00,1,http://www.msn.com/en-us/sports/nhl/former-minor-league-hockey-player-charged-with-killing-wife/ar-AAeXYjK,US,msn.com,"NHL News, Scores, Schedule, Standings, Stats, Photos, Videos - Ice Hockey - MSN Sports",http://www.msn.com/en-us/sports/nhl/former-minor-league-hockey-player-charged-with-killing-wife/ar-AAeXYjK,english,Sports,1,0.170487717,0.083333333
Brett Frieman,,1d17e69161312adec90763b7dba976deb99315a4,2015-16 Pre-season game 5: Bolts get slapped by Pens in Johnstown,0,,0,0,0,0,0,0,0,0,2015-10-01T04:43:45.346+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,2015-16 Pre-season game 5: Bolts get slapped by Pens in Johnstown,0,2015-16 Pre-season game 5: Bolts get slapped by Pens in Johnstown,0,,1d17e69161312adec90763b7dba976deb99315a4,http://www.msn.com/en-us/sports/nhl,2015-09-30T03:00:00.000+03:00,1,http://www.msn.com/en-us/sports/nhl/2015-16-pre-season-game-5-bolts-get-slapped-by-pens-in-johnstown/ar-AAeWqfQ,US,msn.com,"NHL News, Scores, Schedule, Standings, Stats, Photos, Videos - Ice Hockey - MSN Sports",http://www.msn.com/en-us/sports/nhl/2015-16-pre-season-game-5-bolts-get-slapped-by-pens-in-johnstown/ar-AAeWqfQ,english,Sports,1,0.170487717,0.083333333
Manhunt Under Way After Convicted Killer Mistakenly Set Free in Louisiana,,6c2883257460e71d5497345c68a73a7e4af0be6c,Mourinho blasts Chelsea's 'ridiculous' defensive errors,0,,0,0,0,0,0,0,0,0,2015-10-01T02:38:37.641+03:00,2015-09-30T03:00:00.000+03:00,0,news,www.msn.com,Mourinho blasts Chelsea's 'ridiculous' defensive errors,0,Mourinho blasts Chelsea's 'ridiculous' defensive errors,0,,6c2883257460e71d5497345c68a73a7e4af0be6c,http://www.msn.com/en-us/sports/soccer,2015-09-30T03:00:00.000+03:00,1,http://www.msn.com/en-us/sports/uefa-champions-league/mourinho-blasts-chelseas-ridiculous-defensive-errors/ar-AAeVLC9,US,msn.com,"Soccer News, Scores, Schedule, Standings, Stats, Photos, Videos - MSN Sports",http://www.msn.com/en-us/sports/uefa-champions-league/mourinho-blasts-chelseas-ridiculous-defensive-errors/ar-AAeVLC9,english,Sports,1,0.204585261,0.1
,,0c2e73e768c08bf1b5f3a66fc9d0b6cb93636ace,Wall Street enters 4Q wondering if worst is over,0,,0,0,0,0,0,0,0,0,2015-10-01T00:25:33.863+03:00,2015-09-30T23:06:00.000+03:00,0,news,www.newsdump.com,Wall Street enters 4Q wondering if worst is over,0,Wall Street enters 4Q wondering if worst is over,0,,0c2e73e768c08bf1b5f3a66fc9d0b6cb93636ace,http://www.newsdump.com/feed/,2015-09-30T23:06:00.000+03:00,0,http://www.newsdump.com/article/wall-street-enters-4q-wondering-if-worst-is-over,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/wall-street-enters-4q-wondering-if-worst-is-over,english,Sports,1,0.120344271,0.071428571
,,4b375bc0bfc8b93cf6d558f0662949e431c69737,Microsoft Finally Responds to Ongoing Privacy Concerns In Windows 10,0,,0,0,0,0,0,0,0,0,2015-10-01T00:20:53.049+03:00,2015-10-01T00:05:00.000+03:00,0,news,www.newsdump.com,Microsoft Finally Responds to Ongoing Privacy Concerns In Windows 10,0,Microsoft Finally Responds to Ongoing Privacy Concerns In Windows 10,0,,4b375bc0bfc8b93cf6d558f0662949e431c69737,http://www.newsdump.com/feed/,2015-10-01T00:05:00.000+03:00,0,http://www.newsdump.com/article/microsoft-finally-responds-to-ongoing-privacy-concerns-in-windows-10,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/microsoft-finally-responds-to-ongoing-privacy-concerns-in-windows-10,english,Sports,1,0.120344271,0.071428571
MST Sports,,ff46a37eff66b5d6f6e94c75cf543c8a681fd70e,"PBA Season 41 to focus on talent, strategy",0,,0,0,0,0,0,0,0,0,2015-10-01T00:28:28.948+03:00,2015-09-30T19:01:00.000+03:00,0,news,manilastandardtoday.com,"PBA Season 41 to focus on talent, strategy",0,"PBA Season 41 to focus on talent, strategy",0,http://manilastandardtoday.com/panel/_files/images/default/default-thumb.jpg,ff46a37eff66b5d6f6e94c75cf543c8a681fd70e,http://manilastandardtoday.com/feed/sports/,2015-09-30T19:01:00.000+03:00,1,http://manilastandardtoday.com/2015/10/01/pba-season-41-to-focus-on-talent-strategy/,CA,manilastandardtoday.com,The Standard Sports,http://manilastandardtoday.com/2015/10/01/pba-season-41-to-focus-on-talent-strategy/,english,Sports,1,1.022926304,0
,,289cfc8d60f3ccdf86db28661f65a2fc6508704d,Waltrip Brothers tee it up for 6th annual Charity Championship,0,,0,0,0,0,0,0,0,0,2015-10-23T20:05:14.195+03:00,2015-10-23T19:00:00.000+03:00,0,news,www.foxsports.com,Waltrip Brothers tee it up for 6th annual Charity Championship,0,Waltrip Brothers tee it up for 6th annual Charity Championship,0,http://a.fssta.com/content/dam/fsdigital/fscom/nascar/images/shakeandbake/2015/10/23/NASCAR_WBCC.vresize.1200.675.high.22.jpg,289cfc8d60f3ccdf86db28661f65a2fc6508704d,http://api.foxsports.com/v1/rss?partnerKey=zBaFxRyGKCfxBagJG9b8pqLyndmvo7UU&tag=nascar,2015-10-23T19:00:00.000+03:00,0,http://www.foxsports.com/nascar/shake-and-bake/waltrip-brothers-charity-championship-darrell-waltrip-michael-waltrip-travis-tritt-102315?cmpid=feed:-sports-CQ-RSS-Feed,,foxsports.com,FOX Sports Digital,http://www.foxsports.com/nascar/shake-and-bake/waltrip-brothers-charity-championship-darrell-waltrip-michael-waltrip-travis-tritt-102315?cmpid=feed:-sports-CQ-RSS-Feed,english,Technology,0,0,0
,,4fd6df0a4b2748c5f6e7dabccd0233bbba598c17,"States, business groups challenge Obama's carbon rules in court",0,,0,0,0,0,0,0,0,0,2015-10-23T23:44:14.159+03:00,2015-10-23T22:36:00.000+03:00,0,news,www.newsdump.com,"States, business groups challenge Obama's carbon rules in court",0,"States, business groups challenge Obama's carbon rules in court",0,,4fd6df0a4b2748c5f6e7dabccd0233bbba598c17,http://www.newsdump.com/feed/,2015-10-23T22:36:00.000+03:00,0,http://www.newsdump.com/article/states-business-groups-challenge-obamas-carbon-rules-in-court,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/states-business-groups-challenge-obamas-carbon-rules-in-court,english,Technology,0,0,0
,,f14a26b48be79c8ccc1f4b61b862c62e26f7073a,Heroes of the Storm Halloween Event Kicks Off Next Week,0,,0,0,0,0,0,0,0,0,2015-10-23T23:56:28.295+03:00,2015-10-23T22:08:00.000+03:00,0,news,www.newsdump.com,Heroes of the Storm Halloween Event Kicks Off Next Week,0,Heroes of the Storm Halloween Event Kicks Off Next Week,0,,f14a26b48be79c8ccc1f4b61b862c62e26f7073a,http://www.newsdump.com/feed/,2015-10-23T22:08:00.000+03:00,0,http://www.newsdump.com/article/heroes-of-the-storm-halloween-event-kicks-off-next-week,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/heroes-of-the-storm-halloween-event-kicks-off-next-week,english,Technology,0,0,0
,,da3cadd5620bca7f5fb2523921a5e83f566de892,This week???s Charlotte-area football games,0,,0,0,0,0,0,0,0,0,2015-10-23T02:41:25.433+03:00,2015-10-23T02:06:00.000+03:00,0,news,www.newsdump.com,This week???s Charlotte-area football games,0,This week???s Charlotte-area football games,0,,da3cadd5620bca7f5fb2523921a5e83f566de892,http://www.newsdump.com/feed/,2015-10-23T02:06:00.000+03:00,0,http://www.newsdump.com/article/this-weeks-charlottearea-football-games,CZ,newsdump.com,"NewsDump.com, US News, Headlines, Latest USA News, US Sports, US Politics, Football, Business, Celebs, Baseball, Hockey, Basketball",http://www.newsdump.com/article/this-weeks-charlottearea-football-games,english,Technology,0,0,0
webmaster@whatech.com.au (Stern Curator),,d9d6ac40504a0ea49a4c96644c48df8587270ee5,Embrace the New age ??? If your workplace isn???t digital you're already behind your competition,0,,0,0,0,0,0,0,0,0,2015-10-13T20:15:42.100+03:00,2015-10-12T07:04:00.000+03:00,0,news,www.whatech.com,Embrace the New age ??? If your workplace isn???t digital you're already behind your competition,0,Embrace the New age ??? If your workplace isn???t digital you're already behind your competition,0,,d9d6ac40504a0ea49a4c96644c48df8587270ee5,http://www.whatech.com/?format=feed&type=rss,2015-10-12T07:04:00.000+03:00,1,https://www.whatech.com/outsourced-it-services/news/100436-lan542-embrace-the-new-age-if-your-workplace-isn-t-digital-your-already-behind-your-competition,AU,whatech.com,WhaTech -  Technology News | Supplier Sourcing |  Community - WhaTech,https://www.whatech.com/outsourced-it-services/news/100436-lan542-embrace-the-new-age-if-your-workplace-isn-t-digital-your-already-behind-your-competition,english,Technology,1,0.381973401,0.166666667
